date,checked_at,brand_name,product_count,calculated_product_count,excluded_product_count,complete_product_count,product_coverage_pct,average_time_coverage_pct,estimated_sales,estimated_gmv,price_change_products,last_observed_at,sales_policy_version
2026-08-27,2026-09-24T17:44:55+09:00,,80251,80143,108,0,99.87,35.76,7886.85,356859205,0,,2026-09-18-gap-reconstruction-v2
2026-08-28,2026-09-24T17:44:55+09:00,,88116,88111,5,78996,99.99,94.48,24350.31,1076180528,5128,,2026-09-18-gap-reconstruction-v2
2026-08-29,2026-09-24T17:44:55+09:00,,91547,91545,2,86751,100.0,97.93,24022.72,1018218999,2915,,2026-09-18-gap-reconstruction-v2
2026-08-30,2026-09-24T17:44:55+09:00,,91563,91563,0,89828,100.0,98.74,31178.12,1324769260,601,,2026-09-18-gap-reconstruction-v2
2026-08-31,2026-09-24T17:44:55+09:00,,92041,92036,5,89208,99.99,97.74,39133.33,1740435898,21040,,2026-09-18-gap-reconstruction-v2
2026-09-01,2026-09-24T17:44:55+09:00,,92707,92695,12,89201,99.99,97.38,39503.18,1709737646,30598,,2026-09-18-gap-reconstruction-v2
2026-09-02,2026-09-24T17:44:55+09:00,,93168,93150,18,89234,99.98,96.91,35538.85,1512594253,8761,,2026-09-18-gap-reconstruction-v2
2026-09-03,2026-09-24T17:44:55+09:00,,157342,157305,37,89575,99.98,66.28,32615.5,1395565094,9029,,2026-09-18-gap-reconstruction-v2
2026-09-04,2026-09-24T17:44:55+09:00,,226547,226490,57,153904,99.97,81.52,38898.28,1880340207,15359,,2026-09-18-gap-reconstruction-v2
2026-09-05,2026-09-24T17:44:55+09:00,,228419,228419,0,222914,100.0,98.27,47579.93,2436608057,14725,,2026-09-18-gap-reconstruction-v2
2026-09-06,2026-09-24T17:44:55+09:00,,228476,228475,1,224635,100.0,98.77,59727.49,3080011516,2717,,2026-09-18-gap-reconstruction-v2
2026-09-07,2026-09-24T17:44:55+09:00,,230294,230290,4,223586,100.0,97.82,64264.17,3392074643,22575,,2026-09-18-gap-reconstruction-v2
2026-09-08,2026-09-24T17:44:55+09:00,,233477,233465,12,224663,99.99,97.61,63773.89,3304124082,19063,,2026-09-18-gap-reconstruction-v2
2026-09-09,2026-09-24T17:44:55+09:00,,234721,234702,19,200361,99.99,96.87,70805.71,3712268824,14607,,2026-09-18-gap-reconstruction-v2
2026-09-10,2026-09-24T17:44:55+09:00,,235805,235547,258,0,99.89,37.71,66714.03,3528483927,40692,,2026-09-18-gap-reconstruction-v2
2026-09-11,2026-09-24T17:44:55+09:00,,235805,234168,1637,0,99.31,0.0,58319.36,3101186783,0,,2026-09-18-gap-reconstruction-v2
2026-09-12,2026-09-24T17:44:55+09:00,,235805,234168,1637,0,99.31,0.0,58319.36,3101186783,0,,2026-09-18-gap-reconstruction-v2
2026-09-13,2026-09-24T17:44:55+09:00,,235805,234168,1637,0,99.31,0.0,58319.36,3101186783,0,,2026-09-18-gap-reconstruction-v2
2026-09-14,2026-09-24T17:44:55+09:00,,238741,238139,602,0,99.75,20.89,63750.3,3462522050,53309,,2026-09-18-gap-reconstruction-v2
2026-09-15,2026-09-24T17:44:55+09:00,,241839,241682,157,108094,99.94,50.78,54373.86,2957316064,47355,,2026-09-18-gap-reconstruction-v2
2026-09-16,2026-09-24T17:44:55+09:00,,244037,243705,332,134259,99.86,57.88,65160.53,3533968458,16394,,2026-09-18-gap-reconstruction-v2
2026-09-17,2026-09-24T17:44:55+09:00,,246310,246279,31,188368,99.99,94.38,51931.02,2889658173,23426,,2026-09-18-gap-reconstruction-v2
2026-09-18,2026-09-24T17:44:55+09:00,,247935,247918,17,239690,99.99,97.45,42507.77,2462460938,16138,,2026-09-18-gap-reconstruction-v2
2026-09-19,2026-09-24T17:44:55+09:00,,249121,249119,2,242563,100.0,98.0,43570.05,2453950712,11248,,2026-09-18-gap-reconstruction-v2
2026-09-20,2026-09-24T17:44:55+09:00,,251619,251616,3,219532,100.0,97.65,56978.74,3074956514,5020,,2026-09-18-gap-reconstruction-v2
2026-09-21,2026-09-24T17:44:55+09:00,,253210,252955,255,195126,99.9,78.12,103290.85,6112637882,36520,,2026-09-18-gap-reconstruction-v2
2026-09-22,2026-09-24T17:44:55+09:00,,255335,255298,37,196418,99.99,80.91,100053.62,5345773756,64432,,2026-09-18-gap-reconstruction-v2
2026-09-23,2026-09-24T17:44:55+09:00,,256505,256276,229,199690,99.91,95.83,84906.8,4092447187,35065,,2026-09-18-gap-reconstruction-v2
2026-09-24,2026-09-24T17:44:55+09:00,,257152,204317,52835,0,79.45,31.13,39461.12,1828344029,8371,,2026-09-18-gap-reconstruction-v2
