date,slot,goods_no,brand_name,product_name,first_failed_at,last_failed_at,attempts,last_error,current_price,product_url
2026-09-23,1,7021045,유니폼브릿지,001 wide denim pants 12oz one washed,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,107100,https://www.musinsa.com/products/7021045
2026-09-23,1,7021048,유니폼브릿지,washed cotton coverall jacket beige,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,179100,https://www.musinsa.com/products/7021048
2026-09-23,1,7021049,유니폼브릿지,washed cotton coverall jacket olive,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,179100,https://www.musinsa.com/products/7021049
2026-09-23,1,7021052,유니폼브릿지,vintage check shirt grey,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,125100,https://www.musinsa.com/products/7021052
2026-09-23,1,7021053,유니폼브릿지,vintage check shirt rust brown,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,125100,https://www.musinsa.com/products/7021053
2026-09-23,1,7021054,유니폼브릿지,zip-up check shirt jacket charcoal check,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,143100,https://www.musinsa.com/products/7021054
2026-09-23,1,7021055,유니폼브릿지,zip-up check shirt jacket brown check,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,143100,https://www.musinsa.com/products/7021055
2026-09-23,1,7021734,유니폼브릿지,washed cotton coverall jacket navy,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,179100,https://www.musinsa.com/products/7021734
2026-09-23,1,7021773,유니폼브릿지,cold bay 5panel cap brown,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,53100,https://www.musinsa.com/products/7021773
2026-09-23,1,7021774,유니폼브릿지,cold bay 5panel cap charcoal,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,53100,https://www.musinsa.com/products/7021774
2026-09-23,1,7021776,유니폼브릿지,state park ball cap charcoal,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,53100,https://www.musinsa.com/products/7021776
2026-09-23,1,7021777,유니폼브릿지,state park ball cap olive,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,53100,https://www.musinsa.com/products/7021777
2026-09-23,1,7023971,핍스 모터사이클,[김간지 X 핍스 모터사이클] Laurel Tree Trucker Cap Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,38900,https://www.musinsa.com/products/7023971
2026-09-23,1,7032773,렌세,Crop Zip-Up Shacket Gray,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,71200,https://www.musinsa.com/products/7032773
2026-09-23,1,7032788,렌세,Crop Zip-Up Shacket Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,71200,https://www.musinsa.com/products/7032788
2026-09-23,1,7032802,렌세,Diagonal Button Cardigan Ivory,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,57600,https://www.musinsa.com/products/7032802
2026-09-23,1,7032809,렌세,Diagonal Button Cardigan Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,57600,https://www.musinsa.com/products/7032809
2026-09-23,1,7032819,렌세,Corset Tiered Skirt Pants Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,55200,https://www.musinsa.com/products/7032819
2026-09-23,1,7032822,렌세,Washed Snap Shirt Brown,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,56800,https://www.musinsa.com/products/7032822
2026-09-23,1,7032824,렌세,Washed Snap Shirt Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,56800,https://www.musinsa.com/products/7032824
2026-09-23,1,7032829,렌세,Double Layered Cardigan Melange Gray,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,57600,https://www.musinsa.com/products/7032829
2026-09-23,1,7032832,렌세,Double Layered Cardigan Black,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,57600,https://www.musinsa.com/products/7032832
2026-09-23,1,7032853,렌세,V Hook Cardigan Melange Gray,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,53600,https://www.musinsa.com/products/7032853
2026-09-23,1,7032854,렌세,V Hook Cardigan Navy,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,53600,https://www.musinsa.com/products/7032854
2026-09-23,1,7032855,렌세,V Hook Cardigan Purple,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,53600,https://www.musinsa.com/products/7032855
2026-09-23,1,7032872,렌세,Oversized Stripe Layered Hood Tee Beige,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,52000,https://www.musinsa.com/products/7032872
2026-09-23,1,7032874,렌세,Oversized Stripe Layered Hood Tee Purple,2026-09-23T04:56:33+09:00,2026-09-23T04:56:33+09:00,1,missing shard artifact/result,52000,https://www.musinsa.com/products/7032874
