checked_at,requested_brand,matched_brand,match_mode,search_result_total,matched_products,pages_scanned,top_candidate_brands,status
2026-09-17T18:40:42+09:00,108파운드,108파운드,exact,0,276,6,108파운드:276,ok
2026-09-18T00:51:37+09:00,1989스탠다드,1989스탠다드,exact,0,182,5,1989스탠다드:182,ok
2026-09-18T10:14:22+09:00,1993스튜디오,1993스튜디오,exact,0,470,9,1993스튜디오:470,ok
2026-09-18T03:59:32+09:00,2000아카이브스,2000아카이브스,exact,0,310,7,2000아카이브스:310 | 리이제:1 | 컨버스:1,ok
2026-09-18T14:35:26+09:00,247시리즈,247시리즈,exact,0,228,5,247시리즈:228,ok
2026-09-18T14:19:37+09:00,51퍼센트,51퍼센트,exact,0,268,7,51퍼센트:268 | 51퍼센트 포 우먼:39 | 엔트로피 메이크업:1,ok
2026-09-18T14:47:45+09:00,9999아카이브,9999아카이브,exact,0,231,5,9999아카이브:231,ok
2026-09-18T17:20:54+09:00,999휴머니티,999휴머니티,exact,0,325,7,999휴머니티:325 | 스파오:1 | 월스와일 무브먼트:1,ok
2026-09-18T01:12:32+09:00,가까이유니언즈,가까이 유니언즈,normalized,0,537,10,가까이 유니언즈:537,ok
2026-09-18T00:37:27+09:00,건지울른스,건지 울른스,normalized,0,262,6,건지 울른스:262 | 어나더 오피스:3 | 키친구:3 | 리본제이:2 | 날씨:1,ok
2026-09-18T06:27:30+09:00,게인스보로,게인스보로,exact,0,334,7,게인스보로:334 | 저스트행:1,ok
2026-09-17T18:52:42+09:00,고스트리퍼블릭,고스트리퍼블릭,exact,0,120,3,고스트리퍼블릭:120,ok
2026-09-18T16:45:54+09:00,곤니치와봉쥬르,곤니치와봉쥬르,exact,0,301,7,곤니치와봉쥬르:301 | 론론:1 | 빅토리아 슈즈:1,ok
2026-09-18T16:33:12+09:00,골스튜디오,골스튜디오,exact,0,810,15,골스튜디오:810 | 골스튜디오 키즈:6 | 라이엇 스토어:2,ok
2026-09-18T16:44:41+09:00,구빈,구빈,exact,0,321,7,구빈:321 | 레토:1,ok
2026-09-18T17:22:21+09:00,굿라이프웍스,굿라이프웍스,exact,0,423,9,굿라이프웍스:423 | 퀵실버:1,ok
2026-09-18T14:39:28+09:00,그라미치,그라미치,exact,0,237,6,그라미치:237 | 그라미치 키즈:3 | 디스이즈네버댓:3,ok
2026-09-18T14:21:59+09:00,그랜디오시티,그랜디오시티,exact,0,214,5,그랜디오시티:214,ok
2026-09-18T00:57:11+09:00,그레이버,그레이버,exact,0,2263,40,그레이버:2263 | 그레이버 오디너리:68 | 판도라:39 | 메종 드 누아:8 | 비아셉템버:2,ok
2026-09-18T06:58:22+09:00,그루브라임,그루브라임,exact,0,582,11,그루브라임:582,ok
2026-09-18T17:02:43+09:00,글랙,글랙,exact,0,276,6,글랙:276,ok
2026-09-18T00:59:33+09:00,글로니,글로니,exact,0,544,11,글로니:544 | 레스포색:7 | 알키알카:1 | 챔피온:1,ok
2026-09-17T21:33:38+09:00,기준,기준,exact,0,449,11,기준:449 | 기준 맨:140,ok
2026-09-18T17:20:08+09:00,기철,기철,exact,0,244,6,기철:244,ok
2026-09-18T14:48:37+09:00,길라아카이브,길라아카이브,exact,0,270,6,길라아카이브:270,ok
2026-09-17T21:31:14+09:00,꼬모니노즈,꼬모니노즈,exact,0,509,10,꼬모니노즈:509,ok
2026-09-17T22:07:09+09:00,꼼파뇨,꼼파뇨,exact,0,1091,21,꼼파뇨:1091 | 꼼파뇨 키즈:68 | 코스모폴리탄:5,ok
2026-09-18T14:47:39+09:00,나이스고스트클럽,나이스고스트클럽,exact,0,891,16,나이스고스트클럽:880 | 나이스고스트클럽 키즈:11,ok
2026-09-18T09:34:41+09:00,나이키,나이키,exact,0,1764,39,나이키:1764 | 파나틱스:206 | 플레이키즈프로:162 | 나이키 아이웨어:109 | 나이키스윔:21,ok
2026-09-17T22:10:14+09:00,나인제트,나인제트,exact,0,225,5,나인제트:225 | 씨엘르 애슬레틱:3,ok
2026-09-17T18:27:58+09:00,낫뉴,낫뉴,exact,0,133,4,낫뉴:133 | 뉴비:1,ok
2026-09-18T00:41:40+09:00,낫온리포투데이,낫온리포투데이,exact,0,91,3,낫온리포투데이:91,ok
2026-09-18T16:50:22+09:00,낫유어로즈,낫 유어 로즈,normalized,0,101,3,낫 유어 로즈:101,ok
2026-09-17T18:49:40+09:00,낫포너드,낫포너드,exact,0,654,12,낫포너드:654,ok
2026-09-18T06:27:08+09:00,내셔널지오그래픽,내셔널지오그래픽,exact,0,2302,40,내셔널지오그래픽:1353 | 내셔널지오그래픽 키즈:949 | 내셔널지오그래픽 모바일:85 | 내셔널지오그래픽 프래그런스:8 | 내셔널지오그래픽 디지털:4,ok
2026-09-18T14:50:34+09:00,넌블랭크,넌블랭크,exact,0,631,12,넌블랭크:631,ok
2026-09-18T09:52:15+09:00,노드랩스,노드랩스,exact,0,277,6,노드랩스:277,ok
2026-09-18T00:51:34+09:00,노드유,노드유,exact,0,325,8,노드유:325 | 노드유 우먼:38,ok
2026-09-18T03:36:37+09:00,노디,노디,exact,0,85,2,노디:85 | 메르고:10 | 모어모르:3 | 토와브:2 | 마이쉘:1,ok
2026-09-17T22:04:42+09:00,노매뉴얼,노매뉴얼,exact,0,1163,21,노매뉴얼:1163,ok
2026-09-18T14:17:06+09:00,노스페이스,노스페이스,exact,0,1985,40,노스페이스:1985 | 노스페이스 키즈:396 | 몬스터리퍼블릭:13 | 움파:4 | 루바티:1,ok
2026-09-18T06:32:42+09:00,노아,노아,exact,0,276,12,노아:276 | 블랑드누아:43 | 사르토르 리사르투스:20 | 블랑수블랑:11 | 펠리체:11,ok
2026-09-17T18:27:52+09:00,노앙,노앙,exact,0,133,4,노앙:133,ok
2026-09-18T14:38:28+09:00,노운,노운,exact,0,332,10,노운:332 | 페이보릿 나운:96 | 두유노우엠씨:84 | 에콘드:8 | 올리버골드스미스:2,ok
2026-09-18T06:34:24+09:00,노이스,노이스,exact,0,353,8,노이스:353 | 노이스스튜디오:28 | 무센트:1 | 세릭:1 | 아이러브제이:1,ok
2026-09-18T01:03:50+09:00,노이어,노이어,exact,0,667,20,노이어:667 | 노이어 포 우먼:391 | 블랑드누아:43 | 나이키:2 | 드로우핏:2,ok
2026-09-18T00:48:12+09:00,노이즈,노이즈,exact,0,254,10,노이즈:254 | 그레이노이즈:34 | 소니:15 | 이스케이프프롬:12 | 제이비엘:11,ok
2026-09-17T21:43:45+09:00,노컨텐츠,노컨텐츠,exact,0,409,8,노컨텐츠:409,ok
2026-09-18T17:16:04+09:00,노티카,노티카,exact,0,296,8,노티카:296 | 배럴:88 | 노티카 프래그런스:12 | 카이 샤오:4 | 에르에르:3,ok
2026-09-18T03:42:08+09:00,놈브레,놈브레,exact,0,70,3,놈브레:70,ok
2026-09-18T00:26:31+09:00,누아트스튜디오,누아트 스튜디오,normalized,0,145,4,누아트 스튜디오:145,ok
2026-09-18T09:30:29+09:00,뉴발란스,뉴발란스,exact,0,872,23,뉴발란스:872 | 뉴발란스 키즈:431 | 베이비블리:1 | 컬미넌트:1,ok
