date,checked_at,brand_name,product_count,complete_product_count,product_coverage_pct,average_time_coverage_pct,estimated_sales,estimated_gmv,price_change_products,high_confidence_products,medium_confidence_products,low_confidence_products
2026-08-27,2026-08-29T23:33:01+09:00,(브랜드 미확인),2,0,0.0,25.81,0.0,0,0,0,0,2
2026-08-27,2026-08-29T23:33:01+09:00,1993스튜디오,497,0,0.0,39.74,33.71,936758,0,0,0,497
2026-08-27,2026-08-29T23:33:01+09:00,2000아카이브스,300,0,0.0,44.42,21.57,2406235,0,0,0,300
2026-08-27,2026-08-29T23:33:01+09:00,9999아카이브,193,0,0.0,37.5,50.84,3592366,0,0,0,193
2026-08-27,2026-08-29T23:33:01+09:00,999휴머니티,315,0,0.0,32.07,6.0,463264,0,0,0,315
2026-08-27,2026-08-29T23:33:01+09:00,고스트리퍼블릭,117,0,0.0,27.5,46.78,1189266,0,0,0,117
2026-08-27,2026-08-29T23:33:01+09:00,굿라이프웍스,371,0,0.0,32.39,43.42,1393545,0,0,0,371
2026-08-27,2026-08-29T23:33:01+09:00,그루브라임,416,0,0.0,43.25,28.01,393040,0,0,0,416
2026-08-27,2026-08-29T23:33:01+09:00,글로니,502,0,0.0,41.31,84.98,5466689,0,0,0,502
2026-08-27,2026-08-29T23:33:01+09:00,기철,226,0,0.0,32.33,36.56,1720861,0,0,0,226
2026-08-27,2026-08-29T23:33:01+09:00,길라아카이브,196,0,0.0,37.38,40.87,1779761,0,0,0,196
2026-08-27,2026-08-29T23:33:01+09:00,꼼파뇨,1085,0,0.0,25.9,38.08,1601934,0,0,0,1085
2026-08-27,2026-08-29T23:33:01+09:00,나인제트,223,0,0.0,25.98,36.78,1404744,0,0,0,223
2026-08-27,2026-08-29T23:33:01+09:00,낫포너드,638,0,0.0,27.49,38.13,2423028,0,0,0,638
2026-08-27,2026-08-29T23:33:01+09:00,넌블랭크,518,0,0.0,37.78,34.97,3351170,0,0,0,518
2026-08-27,2026-08-29T23:33:01+09:00,노매뉴얼,1019,0,0.0,25.94,31.79,1392531,0,0,0,1019
2026-08-27,2026-08-29T23:33:01+09:00,노이어,639,0,0.0,41.48,40.65,2761190,0,0,0,639
2026-08-27,2026-08-29T23:33:01+09:00,노티카,276,0,0.0,32.28,89.12,4734018,0,0,0,276
2026-08-27,2026-08-29T23:33:01+09:00,니티드,409,0,0.0,27.61,24.78,878430,0,0,0,409
2026-08-27,2026-08-29T23:33:01+09:00,다이브인,278,0,0.0,39.33,32.71,1421251,0,0,0,278
2026-08-27,2026-08-29T23:33:01+09:00,더니트컴퍼니,303,0,0.0,27.48,11.39,883677,0,0,0,303
2026-08-27,2026-08-29T23:33:01+09:00,더뮤지엄비지터,617,0,0.0,44.37,16.49,1729875,0,0,0,617
2026-08-27,2026-08-29T23:33:01+09:00,더바넷,281,0,0.0,27.29,3.91,327853,0,0,0,281
2026-08-27,2026-08-29T23:33:01+09:00,더바이닐하우스,462,0,0.0,39.61,9.54,526582,0,0,0,462
2026-08-27,2026-08-29T23:33:01+09:00,더블유엠씨,590,0,0.0,37.78,32.54,772449,0,0,0,590
2026-08-27,2026-08-29T23:33:01+09:00,던스트,539,0,0.0,37.47,1.25,51741,0,0,0,539
2026-08-27,2026-08-29T23:33:01+09:00,데꼬로소,207,0,0.0,37.59,105.93,4452218,0,0,0,207
2026-08-27,2026-08-29T23:33:01+09:00,데이,39,0,0.0,27.14,76.19,2028829,0,0,0,39
