date,brand_name,goods_no,product_name,estimated_sales,estimated_gmv,estimated_avg_price,display_price,previous_display_price,price_change_detected,price_change_amount,price_change_pct,coverage_pct,calendar_complete,confidence,max_interval_hours,observation_count,contributing_intervals,initial_delta_status,initial_delta_value,history_bucket,product_url
2026-09-14,108파운드,6362579,Wide Curved Jean_Blue denim,0.0,0,69920,69920,,0,,,8.25,0,low,1.61,4,3,none,,19,https://www.musinsa.com/products/6362579
2026-09-14,108파운드,6362585,Elloy Low-rise Jean_Blue,0.0,0,74480,74480,,0,,,8.72,0,low,6.4,5,1,none,,25,https://www.musinsa.com/products/6362585
2026-09-14,108파운드,6362766,Reversible 3/4 Sleeve Tee_Ivory,0.0,0,29640,29640,,0,,,8.72,0,low,6.19,5,1,none,,14,https://www.musinsa.com/products/6362766
2026-09-14,108파운드,6362767,Reversible 3/4 Sleeve Tee_Melange gray,0.0,0,29640,29640,,0,,,8.72,0,low,6.4,5,1,none,,15,https://www.musinsa.com/products/6362767
2026-09-14,108파운드,6362768,Reversible 3/4 Sleeve Tee_Charcoal,0.0,0,29640,29640,,0,,,8.72,0,low,6.27,5,1,none,,16,https://www.musinsa.com/products/6362768
2026-09-14,108파운드,6362769,Reversible 3/4 Sleeve Tee_Black,0.0,0,29640,29640,,0,,,8.72,0,low,6.32,5,1,none,,17,https://www.musinsa.com/products/6362769
2026-09-14,108파운드,6362836,Nia Drape Neck Tee_Black,0.0,0,39520,39520,,0,,,8.72,0,low,6.27,5,1,none,,20,https://www.musinsa.com/products/6362836
2026-09-14,108파운드,6362936,Leo Bag_Leopard,0.34,9649,28560,28560,,0,,,8.72,0,low,6.19,5,1,none,,56,https://www.musinsa.com/products/6362936
2026-09-14,108파운드,6364993,Easy Waffle Jogger_Light Melange,0.0,0,54720,54720,,0,,,8.72,0,low,6.27,5,1,none,,1,https://www.musinsa.com/products/6364993
2026-09-14,108파운드,6365265,Base Crop Tee_Apple Green,0.0,0,25840,25840,,0,,,8.71,0,low,6.51,5,1,none,,17,https://www.musinsa.com/products/6365265
2026-09-14,108파운드,6366066,Ballet Blouse_Ivory,0.0,0,63080,63080,,0,,,8.71,0,low,6.16,5,1,none,,50,https://www.musinsa.com/products/6366066
