date,checked_at,brand_count,product_count,complete_product_count,product_coverage_pct,average_time_coverage_pct,estimated_sales,estimated_gmv,price_change_products
2026-08-24,2026-08-27T11:12:20+09:00,0,0,0,100.0,0.0,0,0,0
2026-08-25,2026-08-28T23:36:38+09:00,0,0,0,100.0,0.0,0,0,0
2026-08-26,2026-08-29T23:32:53+09:00,0,0,0,100.0,0.0,0,0,0
2026-08-27,2026-08-30T23:33:05+09:00,166,79866,0,0.0,36.02,9545.75,480196329,0
2026-08-28,2026-08-31T23:33:31+09:00,181,88073,79519,90.29,95.12,27679.55,1295873371,5092
2026-08-29,2026-09-01T23:39:20+09:00,185,91546,87731,95.83,99.06,26262.97,1146009896,2915
2026-08-30,2026-09-02T23:38:52+09:00,185,91561,91124,99.52,99.83,34311.4,1496378962,601
2026-08-31,2026-09-03T23:36:40+09:00,185,92031,90636,98.48,99.04,73168.5,4310451718,21038
2026-09-01,2026-09-04T07:12:59+09:00,187,92678,91016,98.21,99.22,52236.78,2570555939,30591
2026-09-02,2026-09-04T07:13:19+09:00,193,93125,91129,97.86,98.88,57924.08,2538506914,8759
2026-09-03,2026-09-04T07:13:39+09:00,312,137222,33216,24.21,61.38,67196.6,2876917399,8785
