checked_at,date,product_count,daily_baseline_product_count,purchase_total_sum,simple_gmv_sum,daily_sales_sum,daily_estimated_gmv_sum,sales_7d_sum,sales_30d_sum,new_products
2026-08-27T17:57:44+09:00,2026-08-27,80251,0,53269920,2408706893150,0,0,0,0,17926
2026-08-28T22:06:56+09:00,2026-08-28,88116,79560,54989450,2480755992000,25326,1228905330,0,0,4813
2026-08-29T21:36:36+09:00,2026-08-29,91547,87549,56925544,2540086624730,32760,1534369500,0,0,3275
2026-08-30T21:37:00+09:00,2026-08-30,91563,91408,56963437,2541124815740,28573,1216535680,0,0,13
2026-08-31T21:38:36+09:00,2026-08-31,92039,91006,56466485,2496914967320,39384,1776129080,0,0,589
2026-09-01T21:43:27+09:00,2026-09-01,92707,91072,56474930,2492404512160,132335,6812180960,0,0,619
2026-09-02T21:44:43+09:00,2026-09-02,93168,91861,56703902,2508765794100,188690,8994846730,0,0,412
2026-09-03T22:23:58+09:00,2026-09-03,158693,92415,69043670,3055406569580,45444,2080653440,254428,0,67683
2026-09-04T22:28:04+09:00,2026-09-04,227807,156398,79315332,3632075500030,36379,1755486160,281652,0,65681
2026-09-05T16:42:35+09:00,2026-09-05,180939,177459,57489071,2628977854970,41606,2234294450,214240,0,1479
